,s,r,n,sol,file,datetime,experiment,seed
70,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:03,hashing_experiment.py,10
71,1,6,965,5344,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:03,hashing_experiment.py,10
72,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:03,hashing_experiment.py,10
73,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:03,hashing_experiment.py,10
74,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:04,hashing_experiment.py,10
75,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:04,hashing_experiment.py,10
76,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:05,hashing_experiment.py,10
77,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:05,hashing_experiment.py,10
78,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:05,hashing_experiment.py,10
79,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:05,hashing_experiment.py,10
80,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:06,hashing_experiment.py,10
81,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:06,hashing_experiment.py,10
82,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:06,hashing_experiment.py,10
83,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:06,hashing_experiment.py,10
84,1,6,965,15168,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:07,hashing_experiment.py,10
85,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:07,hashing_experiment.py,10
86,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:07,hashing_experiment.py,10
87,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:08,hashing_experiment.py,10
88,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:08,hashing_experiment.py,10
89,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:08,hashing_experiment.py,10
90,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:08,hashing_experiment.py,10
91,1,6,965,8016,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:08,hashing_experiment.py,10
92,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:08,hashing_experiment.py,10
93,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:09,hashing_experiment.py,10
94,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:10,hashing_experiment.py,10
95,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:10,hashing_experiment.py,10
96,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:10,hashing_experiment.py,10
97,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:11,hashing_experiment.py,10
98,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:11,hashing_experiment.py,10
99,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:11,hashing_experiment.py,10
100,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:11,hashing_experiment.py,10
101,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:12,hashing_experiment.py,10
102,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:12,hashing_experiment.py,10
103,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:12,hashing_experiment.py,10
104,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
105,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
106,1,6,965,8016,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:13,hashing_experiment.py,10
