m_upper: 1024, m_lower 896, m: 960, i: 58, last_sol: 357120
m_upper: 1024, m_lower 896, m: 960, i: 59, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 60, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 61, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 62, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 63, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 64, last_sol: 4320
m_upper: 1024, m_lower 896, m: 960, i: 65, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 66, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 67, last_sol: 5232704
m_upper: 1024, m_lower 896, m: 960, i: 68, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 69, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 70, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 71, last_sol: 40914528
m_upper: 1024, m_lower 896, m: 960, i: 72, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 73, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 74, last_sol: 2298496
m_upper: 1024, m_lower 896, m: 960, i: 75, last_sol: 737280
m_upper: 1024, m_lower 896, m: 960, i: 76, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 77, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 78, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 79, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 80, last_sol: 27648
m_upper: 1024, m_lower 896, m: 960, i: 81, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 82, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 83, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 84, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 85, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 86, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 87, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 88, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 89, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 90, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 91, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 92, last_sol: 1251072
