cnf,solver,problem_type,time,size,benchmark
cnf-emb-h-example-g-pg2-4.cnf,homSub,--emb,0.11178805940144229,36,pg2-3
cnf-emb-h-example-g-pg2-4.cnf,sharp,--emb,0.022649187900242396,36,pg2-3
cnf-emb-h-example-g-pg2-5.cnf,ganak,--emb,0.0616045985952951,36,pg2-3
cnf-emb-h-example-g-pg2-5.cnf,homSub,--emb,0.0948989594966406,36,pg2-3
cnf-emb-h-example-g-pg2-5.cnf,sharp,--emb,0.0425456739962101,36,pg2-3
cnf-emb-h-example-g-pg2-7.cnf,ganak,--emb,0.17329619200027083,36,pg2-3
cnf-emb-h-example-g-pg2-7.cnf,homSub,--emb,0.11165259909757878,36,pg2-3
cnf-emb-h-example-g-pg2-7.cnf,sharp,--emb,0.1366153754061088,36,pg2-3
cnf-emb-h-example-g-pg2-8.cnf,ganak,--emb,0.27363886770326645,36,pg2-3
cnf-emb-h-example-g-pg2-8.cnf,homSub,--emb,0.1406167512963293,36,pg2-3
cnf-emb-h-example-g-pg2-8.cnf,sharp,--emb,0.25998175619752145,36,pg2-3
cnf-emb-h-k3-g-pg2-2.cnf,ganak,--emb,0.03127392399765085,36,pg2-3
cnf-emb-h-k3-g-pg2-2.cnf,homSub,--emb,0.09376149159506894,36,pg2-3
cnf-emb-h-k3-g-pg2-2.cnf,sharp,--emb,0.011145619695889763,36,pg2-3
cnf-emb-h-k3-g-pg2-3.cnf,ganak,--emb,0.033029436596552844,36,pg2-3
cnf-emb-h-k3-g-pg2-3.cnf,homSub,--emb,0.09486890040861909,36,pg2-3
cnf-emb-h-k3-g-pg2-3.cnf,sharp,--emb,0.012097211892250926,36,pg2-3
cnf-emb-h-k3-g-pg2-4.cnf,ganak,--emb,0.035658801102545115,36,pg2-3
cnf-emb-h-k3-g-pg2-4.cnf,homSub,--emb,0.09387732349568978,36,pg2-3
cnf-emb-h-k3-g-pg2-4.cnf,sharp,--emb,0.017050383694004266,36,pg2-3
cnf-emb-h-k3-g-pg2-5.cnf,ganak,--emb,0.04688518310140353,36,pg2-3
cnf-emb-h-k3-g-pg2-5.cnf,homSub,--emb,0.0933182712062262,36,pg2-3
cnf-emb-h-k3-g-pg2-5.cnf,sharp,--emb,0.027647842408623547,36,pg2-3
cnf-emb-h-k3-g-pg2-7.cnf,ganak,--emb,0.09462661759753246,36,pg2-3
cnf-emb-h-k3-g-pg2-7.cnf,homSub,--emb,0.10026986449374817,36,pg2-3
cnf-emb-h-k3-g-pg2-7.cnf,sharp,--emb,0.07271391559625044,36,pg2-3
cnf-emb-h-k3-g-pg2-8.cnf,ganak,--emb,0.16382538870093413,36,pg2-3
cnf-emb-h-k3-g-pg2-8.cnf,homSub,--emb,0.12077739329834003,36,pg2-3
cnf-emb-h-k3-g-pg2-8.cnf,sharp,--emb,0.12209373049845454,36,pg2-3
cnf-emb-h-square-g-pg2-2.cnf,ganak,--emb,0.04720674440031871,36,pg2-3
cnf-emb-h-square-g-pg2-2.cnf,homSub,--emb,0.08782417599577456,36,pg2-3
cnf-emb-h-square-g-pg2-2.cnf,sharp,--emb,0.010781900296569802,36,pg2-3
cnf-emb-h-square-g-pg2-3.cnf,ganak,--emb,0.03804628420912195,36,pg2-3
cnf-emb-h-square-g-pg2-3.cnf,homSub,--emb,0.08460841699852609,36,pg2-3
cnf-emb-h-square-g-pg2-3.cnf,sharp,--emb,0.016736753896111622,36,pg2-3
cnf-emb-h-square-g-pg2-4.cnf,ganak,--emb,0.05862693240633234,36,pg2-3
cnf-emb-h-square-g-pg2-4.cnf,homSub,--emb,0.08899406759883277,36,pg2-3
cnf-emb-h-square-g-pg2-4.cnf,sharp,--emb,0.03435407530050725,36,pg2-3
cnf-emb-h-square-g-pg2-5.cnf,ganak,--emb,0.133804411595338,36,pg2-3
cnf-emb-h-square-g-pg2-5.cnf,homSub,--emb,0.08159104069927707,36,pg2-3
cnf-emb-h-square-g-pg2-5.cnf,sharp,--emb,0.08976116670237388,36,pg2-3
cnf-emb-h-square-g-pg2-7.cnf,ganak,--emb,1.5081713737017708,36,pg2-3
